i,ATE,ATE_ipw
211,139.81978101033212,140.11026635661165
212,42.0748481602307,34.277726414308745
213,56.053617551068,43.61651784244805
214,63.88934325069273,74.6315344861141
215,65.8294266637276,52.98016860059124
216,143.5737956807551,160.4258419296425
217,38.3951396624028,57.45349253367658
218,-3.457957007242996,-12.423376934925273
219,83.81160684988443,99.4842989644385
220,84.01865463397564,87.81469086315064
221,99.73750994841726,92.99823426534613
222,27.88224924753622,68.69326389688104
223,4.815087636679738,36.00363055955677
224,-3.8987838193523685,-17.514600676544433
225,60.52578859537321,77.74331735253372
226,47.406733431667355,43.429953792272954
227,154.62288092145099,145.68288258166422
228,29.458346871206032,34.646529674873364
229,-8.521957536784582,1.396509389030598
230,27.150341373987107,23.760651504598627
231,103.63248716892014,99.55046452375109
232,137.72962590829664,132.36795699408458
233,40.45910374025586,38.50978934336581
234,95.413951807343,95.86681730136479
235,32.11001813756772,41.99661180722251
236,1.063804193089661,13.025599187804346
237,37.75815014160762,42.66956011984121
238,68.67297952788687,75.88334040661084
239,69.45230639046105,41.84801549768463
240,59.231249955829796,68.36486807945539
241,109.64148622131344,84.29369500478697
242,126.18642503427911,126.65657896495895
243,113.37973257017542,108.48366428785766
244,91.95621495156,114.64787040563897
245,6.78809628759682,15.342236775335095
246,106.99376756281065,93.59102494202398
247,51.74404504364652,53.76035480828705
248,93.8934292857806,93.23510038005224
249,174.84719091398495,165.4940842214828
250,70.71280381816895,96.19085436336763
251,33.50476646787486,29.154252321596687
252,85.98361267567785,109.67917264587823
253,-21.766863277298285,-30.966186108238162
254,51.38702755105035,49.555051982134046
255,-12.782432162801715,-29.153880725130875
256,44.40354451520034,35.98027766462474
257,14.654955527831328,6.030381856602617
258,169.11398176027976,177.486398379624
259,191.28300874662264,190.32972110197034
260,18.86344478180847,7.381611115502892
261,57.79970555751552,58.394844898843985
262,-76.72099539613873,-64.59146779722414
263,51.60523003098526,57.92889898001704
264,155.7295976522906,149.53550456936227
265,29.77735585386688,65.31575178876119
266,12.796825463539976,30.036885428454298
267,-47.58592372976677,-59.36889498417395
268,97.31203544492013,105.08851545859488
269,157.45203323581796,169.1257483562631
270,100.13417893996709,78.25886715950219
271,23.144103734463936,35.84821417358535
272,74.76812424729319,74.02363973701858
273,124.71821825214484,116.57695872684599
274,-5.18206672025627,-3.9595577263744417
275,17.151474620815936,5.008534006444279
276,129.78214129948768,130.99922146948575
277,49.670751649135084,43.925316922041475
278,85.89809260723683,90.46340925401091
279,98.4468908982762,104.26436003130766
280,98.72130982012338,115.15794120291321
281,121.54878575724241,138.05066017932495
282,28.716101360459216,35.1645879680691
283,40.808940773421845,58.13018350035645
284,205.03845130311393,207.3612895898409
285,73.87551858027334,68.04507368890108
286,145.41006189709753,145.10341019998168
287,172.32980498041726,171.54275993302417
288,104.90835665252509,94.25673315468703
289,118.32745959868069,92.76370490455201
290,44.37024266726698,61.647707387798164
291,108.53686674839616,114.44712753343856
292,118.43416159742415,94.875192838302155
293,125.83439606260349,119.14284863028524
294,-68.57611153433973,-88.60326354339486
295,92.94205733471723,100.36751623284408
296,92.02039885350891,88.7672996038973
297,81.63790367673627,99.08573014889635
298,139.1369072772492,157.21941284297827
299,70.73019568107034,73.034780836977
300,24.781939530230805,20.019521801566498
301,47.71362198886112,44.701864818819104
302,70.06318748881445,75.01786286041079
303,69.96301571163457,76.74618249790774
304,87.6030068049824,101.74644058994
305,85.31149617331857,85.667182121314
306,134.6291894397685,140.2136824838476
307,75.25909738310962,62.11830823477612
308,90.2335027170332,86.29031864873514
309,160.1512490150586,174.12425879358216
310,128.71614781202555,116.80816653934562
311,145.8865360551359,138.49508036544375
312,149.88930834998058,141.85756942838998
313,67.50059353470039,72.21620263345403
