"","i","AIPW_preg_ate","AIPW_preg_ate2","AIPW_bw_ate"
"87",87,-0.0561724609440349,-0.0488737184573491,75.1390616763643
"88",88,-0.0182058990806253,-0.00800879488104961,43.7925732107958
"89",89,-0.0192210598023489,-0.036687248471843,19.0756708303847
"90",90,-0.0173082375641798,-0.0318984820547817,-20.503913778915
"91",91,-0.0606237215981346,-0.0789074646819677,123.221194316986
"92",92,-0.00911726645606019,0.00817204761500381,34.1570543317738
"93",93,0.0158963405528985,0.00369348488882678,-32.854934957427
"94",94,0.0090423738596229,0.0367287360015436,90.4586504565168
"95",95,-0.025319197674877,-0.0154509983398978,18.2747434782648
"96",96,-0.056255048295943,-0.0751787453525112,89.4664255122198
"97",97,-0.0136748398621062,-0.0117094969104584,122.223863711662
"98",98,-0.0522750691657206,-0.0100697926711446,28.9515158820001
