i,ate
450,78.31016915483815
451,66.10754223657386
452,78.27375590496922
453,85.27333463524701
454,80.13659397940773
455,90.85732853332001
456,78.45428148060091
457,86.77396446681496
458,78.57746930680423
459,76.02560819017845
460,83.54269262445769
461,79.93192643008888
462,96.07671730515176
463,92.17796519810281
464,92.39027478538856
465,65.66445172075146
466,99.91159711179944
467,88.733207899013
468,77.22876677241356
469,98.14762015782208
470,76.35231770090695
471,80.86453045901726
472,80.83624646880389
473,86.29889124280089
474,86.11733501764093
475,82.56062425358368
476,67.61853968256719
477,79.46751301128825
478,105.01233327866976
479,77.87532821995046
480,85.34867965215653
481,69.48920641890436
482,94.16089641442022
483,80.26907728128572
484,87.92488799363946
485,83.50444378904604
486,88.91656791575224
487,82.90165300297713
488,77.34232649675641
489,67.78447585426056
490,83.28811059519558
491,72.63872666472844
492,87.76832762406184
493,88.63064013402663
494,73.29399747688512
495,76.89288444407339
496,76.47337527319996
497,77.43525505302341
498,77.76010387180713
499,73.07618345921856
500,72.428837501217
