"","K","bw_reg","preg_reg","bw_ipw","preg_ipw","bw_prs","preg_prs","bw_pss","preg_pss"
"14",14,106.560085771538,-0.0111921228632892,166.783357441993,-0.0537835998520303,144.617050297423,-0.0392358285194096,158.071235660423,-0.0376612971007988
"15",15,81.3436140953863,-0.0421335426729419,85.7955917461245,-0.020792281231299,103.796223735654,-0.0391723056850393,78.0753705918246,-0.0476811377846142
"16",16,69.2448779340912,-0.0080658404981539,72.1164272395017,-0.0148717454308839,67.1411086845587,-0.00525667280755189,74.5082628546915,-0.00645949288806432
"17",17,71.3165651428367,-0.011296931470946,102.963920609706,-0.0318424210605543,103.234075343739,-0.0304741980994483,94.9442813610762,-0.0317466526237065
"18",18,155.620042510183,-0.0190054588037561,137.903276331217,-0.0214164850080871,188.346409017804,-0.0404550015419449,183.236976818129,-0.0404647936177593
"19",19,10.2339528787529,0.0242037703693642,-20.4745828923778,0.033779597372819,-8.61259219451767,0.0233746585609555,-10.3115687894558,0.029676091349679
"20",20,-13.6221508056242,0.0122918407189117,-13.8258335907635,0.0146510855574244,-9.37315940827148,0.00177834034103827,-20.0281177156176,0.00386009192827374
"21",21,94.7607213011388,-0.0338075581522646,88.2319640727228,-0.0391847587172015,107.297340564853,-0.047514811080003,99.1753761237221,-0.0513998648790263
"22",22,10.4160115424706,0.00616344034446717,-59.9342706605489,0.0185751409679149,10.7739660964244,0.00147291086244761,7.27388003725244,-0.00372730685174668
"23",23,-38.3698758779415,0.0014615954759275,-80.8908407784565,0.0139251964673464,-76.4171505361801,0.0105584798585367,-74.3984146749522,0.0154958306069665
"24",24,21.8742717897244,-0.00903318307388828,61.9570907091997,-0.0327526784959253,61.596249895239,-0.0356979034930522,62.0986909242235,-0.0354016850691727
"25",25,97.9782137901261,-0.0246243698877528,99.0238257342062,-0.0351640513879132,110.265356789259,-0.0367935467041304,109.91390734049,-0.0362783336946298
"26",26,57.3472639151228,-0.0310375695621802,112.651927816263,-0.0566085847368634,57.138050725177,-0.0349759426858036,63.2036099699996,-0.0380420977272641
"27",27,-62.5844862245831,-0.00638048253821637,-33.1029142947314,-0.0249414889006559,-55.646118993639,-0.0238021006667823,-48.4049504964756,-0.0291919973426907
"28",28,14.1115465433149,-0.0121922580627986,41.0531888017026,-0.0364545329064596,41.8988341651416,-0.0366513470493051,31.4495188190177,-0.0375658702458145
"29",29,151.073806070574,-0.0248694604012319,128.045373148102,-0.0445703687412266,130.894298474008,-0.0300726096093503,116.822491118673,-0.0241030072539471
"30",30,75.9742399133784,0.00264385990777263,111.859477169898,-0.0302449830446679,59.4207953045129,-0.000779651399577697,61.5571553916926,-0.000531851751666353
"31",31,6.88229839282667,0.0108377039051709,19.7947936522892,0.00641585288399223,43.8335072341342,-0.00269029846624706,39.4081737873678,-0.0017960861463049
"32",32,-51.4562475658349,-0.00979315320409706,7.55401647682174,-0.0439856218174791,-16.8313379117462,-0.033509726064522,-20.2646723692082,-0.042760372411885
"33",33,4.74466356561243,-0.00726440266711313,4.75145810911226,-0.0130394747521444,37.3526480424621,-0.0284726562539929,36.1709644312151,-0.0329491526603964
"34",34,6.80507141020644,-0.0117875660288921,34.470439431047,-0.0457223044030997,28.9636426927668,-0.026845392165441,32.3260400208795,-0.0231167849467739
"35",35,34.9594043285706,0.00593069742338913,38.6302727661764,-0.0122415067566514,47.8749958564836,-0.0212420024909527,38.7839989123555,-0.0181563294025917
"36",36,67.5364062628155,-0.0601916075894572,84.4042221060095,-0.0554111682440385,84.0366496895876,-0.0606440669028509,94.0661880905833,-0.0671971733463669
"37",37,10.3771816719382,-0.0395838089614899,42.3945919308458,-0.0664042497565065,55.6751106087977,-0.0529585432978362,35.5478998073216,-0.0584300270014622
"38",38,164.516393841743,-0.0559499750031288,138.800989458075,-0.0662305556441383,140.951584295752,-0.0672696713488001,149.500744317384,-0.0806373501702308
"39",39,-7.16774522840296,-0.0221347779753951,36.4144150616125,-0.0258794052152906,50.5482907375558,-0.0309762507717816,62.6809747396121,-0.0357178816445972
"40",40,24.6620373132168,0.0181124002202324,34.0296863452531,0.0208935600131162,58.5974182928785,0.0058897506571868,57.9757835807143,0.00685348616272182
"41",41,72.7818389769118,-0.0268401903848944,96.9168345989783,-0.0395003391553451,108.228083980804,-0.0465557394051382,109.843125899803,-0.0481033074171271
